Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Berserk,9.47,331288,1,1,665300,122841,4,28,Publishing,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Miura Kentarou', 'Studio Gaga']",233,15,10,1989-08-25,2023-12-11
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.3,156368,2,26,256146,42864,24,96,Finished,"['Action', 'Adventure', 'Mystery', 'Supernatural']",['Araki Hirohiko'],120,7,1,2004-01-19,2011-04-19
Vagabond,9.24,136403,3,15,364891,40158,37,327,On Hiatus,"['Action', 'Adventure', 'Award Winning']","['Inoue Takehiko', 'Yoshikawa Eiji']",88,8,1,1998-09-03,2015-05-21
One Piece,9.22,366668,4,3,599278,114531,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']",['Oda Eiichiro'],173,17,16,1997-07-22,2023-12-11
Monster,9.15,93945,5,29,236355,20501,18,162,Finished,"['Award Winning', 'Drama', 'Mystery']",['Urasawa Naoki'],64,7,5,1994-12-05,2001-12-20
Slam Dunk,9.09,73590,6,56,163879,15514,31,276,Finished,"['Award Winning', 'Sports']",['Inoue Takehiko'],50,1,1,1990-09-18,1996-06-04
Vinland Saga,9.06,124743,7,19,292677,32273,4,28,Publishing,"['Action', 'Adventure', 'Award Winning', 'Drama']",['Yukimura Makoto'],62,9,10,2005-04-13,2023-12-11
Fullmetal Alchemist,9.03,155123,8,20,288467,29914,27,116,Finished,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Arakawa Hiromu'],54,0,2,2001-07-12,2010-09-11
Oyasumi Punpun (Goodnight Punpun),9.01,174657,10,9,426786,50732,13,147,Finished,"['Drama', 'Slice of Life']",['Asano Inio'],205,31,25,2007-03-15,2013-11-02
Kingdom,9.0,59861,11,52,165698,14686,4,28,Publishing,"['Action', 'Award Winning']",['Hara Yasuhisa'],42,3,1,2006-01-26,2023-12-11
Houseki no Kuni (Land of the Lustrous),8.96,38633,12,94,123674,13693,4,28,Publishing,"['Action', 'Drama', 'Fantasy']",['Ichikawa Haruko'],32,4,1,2012-10-25,2023-12-11
20th Century Boys,8.95,85594,13,28,246620,19255,22,249,Finished,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",['Urasawa Naoki'],67,6,2,1999-09-27,2006-04-24
Real,8.94,19054,14,167,83949,3676,4,28,Publishing,"['Drama', 'Sports']",['Inoue Takehiko'],24,0,0,1999-10-28,2023-12-11
Ashita no Joe,8.94,16264,15,308,50574,4141,20,171,Finished,"['Drama', 'Slice of Life', 'Sports']","['Kajiwara Ikki', 'Chiba Tetsuya']",19,0,1,1968-01-01,1973-05-13
Monogatari Series: First Season,8.92,15687,16,271,57571,3061,6,107,Finished,"['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']","['NISIO ISIN', 'VOFAN']",13,0,0,2006-11-01,2010-07-28
Monogatari Series: Second Season,8.91,6650,17,778,22302,728,6,199,Finished,"['Comedy', 'Drama', 'Mystery', 'Supernatural']","['NISIO ISIN', 'VOFAN']",3,0,0,2010-10-27,2011-12-20
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),8.91,126693,18,25,262337,28400,28,281,Finished,"['Award Winning', 'Comedy']",['Akasaka Aka'],93,8,9,2015-05-19,2022-11-02
Yotsuba to! (Yotsuba&!),8.89,53276,20,71,150173,15919,4,28,Publishing,"['Award Winning', 'Comedy', 'Slice of Life']",['Azuma Kiyohiko'],41,0,0,2003-03-21,2023-12-11
GTO (GTO: Great Teacher Onizuka),8.88,64378,21,54,164492,11184,25,208,Finished,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']",['Fujisawa Tooru'],38,1,6,1996-12-11,2002-01-30
3-gatsu no Lion (March Comes in Like a Lion),8.88,18230,22,227,65533,4019,4,28,Publishing,"['Award Winning', 'Drama', 'Slice of Life']",['Umino Chica'],15,0,0,2007-07-13,2023-12-11
Koe no Katachi (A Silent Voice),8.86,143424,24,23,264445,22228,7,64,Finished,"['Award Winning', 'Drama']",['Ooima Yoshitoki'],96,9,1,2013-08-07,2014-11-19
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch (Umineko When They Cry Episode 8: Twilight of the Golden Witch),8.85,5823,26,1125,15941,1468,9,42,Finished,"['Drama', 'Fantasy', 'Mystery', 'Supernatural']","['Natsumi Kei', 'Ryukishi07']",10,1,0,2012-01-21,2015-06-22
Haikyuu!! (Haikyu!!),8.85,101889,27,34,211573,17962,45,407,Finished,"['Award Winning', 'Sports']",['Furudate Haruichi'],43,2,0,2012-02-20,2020-07-20
Monogatari Series: Final Season,8.85,4584,28,969,18064,476,6,231,Finished,"['Comedy', 'Mystery', 'Supernatural']","['NISIO ISIN', 'VOFAN']",0,0,0,2012-09-28,2014-09-18
Ookami to Koushinryou (Spice & Wolf),8.83,15425,29,244,62610,4132,4,28,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Hasekura Isuna', 'Ayakura Juu']",9,0,0,2006-02-10,2023-12-11
Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),8.82,16344,30,279,56667,3390,7,59,Finished,"['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Supernatural']",['Miyazaki Hayao'],14,0,0,1982-10-09,1994-02-10
Akatsuki no Yona (Yona of the Dawn),8.82,46994,31,82,131411,13849,4,28,Publishing,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Kusanagi Mizuho'],50,9,2,2009-08-05,2023-12-11
86 (86—Eighty-Six),8.81,9484,33,436,38036,2821,4,28,Publishing,"['Action', 'Drama', 'Sci-Fi']","['Shirabi', 'Asato Asato']",11,3,0,2017-02-10,2023-12-11
Re:Zero kara Hajimeru Isekai Seikatsu (Re:ZERO -Starting Life in Another World-),8.8,19936,34,222,67061,5225,4,28,Publishing,"['Drama', 'Fantasy', 'Suspense']","['Nagatsuki Tappei', 'Ootsuka Shinichirou']",13,1,1,2014-01-23,2023-12-11
Nana,8.79,42079,35,78,134560,11176,21,84,On Hiatus,"['Award Winning', 'Drama', 'Romance']",['Yazawa Ai'],23,1,0,2000-05-26,2009-05-26
Made in Abyss,8.77,52007,37,63,155850,10172,4,28,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['Tsukushi Akihito'],25,13,17,2012-10-20,2023-12-11
