Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Berserk,9.47,331288,1,1,"665,300","122,841",Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']","Miura, Kentarou (Story & Art), Studio Gaga (Art)",258,"[233, 15, 10]"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.30,156368,2,26,"256,146","42,864",24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",[],"Araki, Hirohiko (Story & Art)",128,"[120, 7, 1]"
Vagabond,9.24,136403,3,15,"364,891","40,158",37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']","Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",97,"[88, 8, 1]"
One Piece,9.22,366668,4,3,"599,278","114,531",Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],"Oda, Eiichiro (Story & Art)",206,"[173, 17, 16]"
Monster,9.15,93945,5,29,"236,355","20,501",18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']","Urasawa, Naoki (Story & Art)",76,"[64, 7, 5]"
Slam Dunk,9.09,73590,6,56,"163,879","15,514",31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']","Inoue, Takehiko (Story & Art)",52,"[50, 1, 1]"
Vinland Saga,9.06,124743,7,19,"292,677","32,273",Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",[],"Yukimura, Makoto (Story & Art)",81,"[62, 9, 10]"
Fullmetal Alchemist,9.03,155123,8,20,"288,467","29,914",27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],"Arakawa, Hiromu (Story & Art)",56,"[54, 0, 2]"
Grand Blue (Grand Blue Dreaming),9.03,64853,9,48,"171,621","17,110",Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",[],[],"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",49,"[44, 2, 3]"
Oyasumi Punpun (Goodnight Punpun),9.01,174657,10,9,"426,786","50,732",13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice of Life']",[],"Asano, Inio (Story & Art)",261,"[205, 31, 25]"
